Signal 1:
Value:             FFT:             FFT_abs: 
6.04202             -1.12458e+08             1.12458e+08

5.95608             -5.94724e+07             5.94724e+07

6.03949             -4.53318e+06             4.53318e+06

6.21033             5.11215e+07             5.11215e+07

6.14811             1.06252e+08             1.06252e+08

6.24499             1.59641e+08             1.59641e+08

5.76458             2.10125e+08             2.10125e+08

5.8019             2.56615e+08             2.56615e+08

5.73823             2.98121e+08             2.98121e+08

6.18457             3.33775e+08             3.33775e+08

5.90768             3.62846e+08             3.62846e+08

5.73219             3.84756e+08             3.84756e+08

5.71263             3.99092e+08             3.99092e+08

6.16913             4.05612e+08             4.05612e+08

6.08056             4.04249e+08             4.04249e+08

5.82887             3.95111e+08             3.95111e+08

5.98836             3.78477e+08             3.78477e+08

6.15349             3.54789e+08             3.54789e+08

6.29925             3.24642e+08             3.24642e+08

6.26766             2.88767e+08             2.88767e+08

5.87423             2.48013e+08             2.48013e+08

6.02801             2.03332e+08             2.03332e+08

6.1591             1.55752e+08             1.55752e+08

6.14732             1.06355e+08             1.06355e+08

6.24589             5.62547e+07             5.62547e+07

5.99364             6.56784e+06             6.56784e+06

5.80976             -4.16072e+07             4.16072e+07

6.26468             -8.72162e+07             8.72162e+07

5.72071             -1.29271e+08             1.29271e+08

5.73682             -1.66873e+08             1.66873e+08

5.73021             -1.99227e+08             1.99227e+08

5.88958             -2.25665e+08             2.25665e+08

5.83298             -2.45654e+08             2.45654e+08

6.00459             -2.58809e+08             2.58809e+08

5.90369             -2.649e+08             2.649e+08

6.13998             -2.63855e+08             2.63855e+08

6.00869             -2.55762e+08             2.55762e+08

5.9795             -2.40862e+08             2.40862e+08

6.19273             -2.19546e+08             2.19546e+08

6.15683             -1.92344e+08             1.92344e+08

5.74065             -1.59912e+08             1.59912e+08

6.05467             -1.23014e+08             1.23014e+08

6.11418             -8.25091e+07             8.25091e+07

5.8791             -3.93264e+07             3.93264e+07

6.16351             5.55263e+06             5.55263e+06

5.80873             5.11173e+07             5.11173e+07

5.81415             9.63502e+07             9.63502e+07

5.81889             1.4025e+08             1.4025e+08

6.22862             1.81855e+08             1.81855e+08

6.18092             2.2026e+08             2.2026e+08

5.8431             2.54639e+08             2.54639e+08

6.2363             2.84263e+08             2.84263e+08

6.07922             3.08515e+08             3.08515e+08

6.24595             3.269e+08             3.269e+08

5.73074             3.39059e+08             3.39059e+08

5.71443             3.44772e+08             3.44772e+08

6.22533             3.43966e+08             3.43966e+08

5.98913             3.36712e+08             3.36712e+08

6.16115             3.23224e+08             3.23224e+08

5.73452             3.03851e+08             3.03851e+08

6.11872             2.7907e+08             2.7907e+08

6.08133             2.49476e+08             2.49476e+08

5.74757             2.15763e+08             2.15763e+08

6.2508             1.78714e+08             1.78714e+08

5.72798             1.39177e+08             1.39177e+08

5.8539             9.80507e+07             9.80507e+07

6.20769             5.62596e+07             5.62596e+07

6.06556             1.47375e+07             1.47375e+07

5.91354             -2.55954e+07             2.55954e+07

6.07382             -6.38527e+07             6.38527e+07

6.13839             -9.92009e+07             9.92009e+07

6.20412             -1.30877e+08             1.30877e+08

5.80258             -1.58206e+08             1.58206e+08

5.71853             -1.80613e+08             1.80613e+08

6.1909             -1.9764e+08             1.9764e+08

6.0899             -2.08947e+08             2.08947e+08

6.16409             -2.14327e+08             2.14327e+08

5.95108             -2.13706e+08             2.13706e+08

5.84572             -2.07141e+08             2.07141e+08

5.71926             -1.94824e+08             1.94824e+08

6.18383             -1.7707e+08             1.7707e+08

6.29507             -1.54314e+08             1.54314e+08

6.18768             -1.27099e+08             1.27099e+08

6.03678             -9.60611e+07             9.60611e+07

6.23941             -6.19189e+07             6.19189e+07

6.2096             -2.54535e+07             2.54535e+07

6.08085             1.25078e+07             1.25078e+07

5.70989             5.11118e+07             5.11118e+07

5.87518             8.94951e+07             8.94951e+07

6.06434             1.26807e+08             1.26807e+08

6.14368             1.62225e+08             1.62225e+08

5.70419             1.94977e+08             1.94977e+08

5.97736             2.24354e+08             2.24354e+08

5.7145             2.49726e+08             2.49726e+08

6.12383             2.70558e+08             2.70558e+08

6.05833             2.86419e+08             2.86419e+08

6.1489             2.96991e+08             2.96991e+08

6.07589             3.02077e+08             3.02077e+08

5.8733             3.016e+08             3.016e+08

6.25893             2.95611e+08             2.95611e+08

6.28455             2.8428e+08             2.8428e+08

5.89977             2.67896e+08             2.67896e+08

5.7234             2.46858e+08             2.46858e+08

6.21571             2.21665e+08             2.21665e+08

5.74587             1.92905e+08             1.92905e+08

5.74803             1.61242e+08             1.61242e+08

6.25973             1.27398e+08             1.27398e+08

6.03643             9.21418e+07             9.21418e+07

6.13628             5.62654e+07             5.62654e+07

5.96807             2.05707e+07             2.05707e+07

6.29714             -1.41499e+07             1.41499e+07

5.8019             -4.71312e+07             4.71312e+07

6.27588             -7.76513e+07             7.76513e+07

5.86784             -1.05048e+08             1.05048e+08

6.25483             -1.28733e+08             1.28733e+08

5.94099             -1.48204e+08             1.48204e+08

6.17666             -1.63055e+08             1.63055e+08

5.89084             -1.72987e+08             1.72987e+08

6.13126             -1.77809e+08             1.77809e+08

5.80554             -1.77449e+08             1.77449e+08

6.21738             -1.71947e+08             1.71947e+08

6.19112             -1.61459e+08             1.61459e+08

5.87925             -1.46249e+08             1.46249e+08

5.84557             -1.26686e+08             1.26686e+08

5.71853             -1.03233e+08             1.03233e+08

5.80826             -7.64344e+07             7.64344e+07

5.78084             -4.69088e+07             4.69088e+07

6.18404             -1.53295e+07             1.53295e+07

5.71754             1.75888e+07             1.75888e+07

6.04242             5.11056e+07             5.11056e+07

6.22245             8.44719e+07             8.44719e+07

5.79194             1.16946e+08             1.16946e+08

5.74351             1.47813e+08             1.47813e+08

6.02927             1.76394e+08             1.76394e+08

6.26968             2.0207e+08             2.0207e+08

5.86343             2.24285e+08             2.24285e+08

5.99241             2.42569e+08             2.42569e+08

6.11508             2.56537e+08             2.56537e+08

5.84251             2.65905e+08             2.65905e+08

5.99062             2.70493e+08             2.70493e+08

5.90192             2.70227e+08             2.70227e+08

5.83157             2.65142e+08             2.65142e+08

6.09026             2.55381e+08             2.55381e+08

5.73865             2.41189e+08             2.41189e+08

5.72662             2.22906e+08             2.22906e+08

6.07111             2.00965e+08             2.00965e+08

6.16642             1.75874e+08             1.75874e+08

6.2208             1.48211e+08             1.48211e+08

5.71285             1.18606e+08             1.18606e+08

5.86156             8.77279e+07             8.77279e+07

6.00387             5.6272e+07             5.6272e+07

6.27332             2.49413e+07             2.49413e+07

5.87372             -5.5683e+06             5.5683e+06

5.74135             -3.45828e+07             3.45828e+07

6.08977             -6.14653e+07             6.14653e+07

5.83052             -8.56301e+07             8.56301e+07

5.76414             -1.06555e+08             1.06555e+08

5.73444             -1.23793e+08             1.23793e+08

6.04055             -1.36983e+08             1.36983e+08

6.2998             -1.45852e+08             1.45852e+08

6.05588             -1.50229e+08             1.50229e+08

5.72538             -1.50041e+08             1.50041e+08

6.17697             -1.45319e+08             1.45319e+08

6.13654             -1.36192e+08             1.36192e+08

5.91239             -1.22888e+08             1.22888e+08

5.83418             -1.05727e+08             1.05727e+08

6.09907             -8.51119e+07             8.51119e+07

6.0192             -6.15202e+07             6.15202e+07

5.76403             -3.54932e+07             3.54932e+07

6.19149             -7.62397e+06             7.62397e+06

6.2612             2.14578e+07             2.14578e+07

6.2243             5.10984e+07             5.10984e+07

5.88293             8.06351e+07             8.06351e+07

6.11343             1.09412e+08             1.09412e+08

5.94696             1.36791e+08             1.36791e+08

5.80141             1.62173e+08             1.62173e+08

6.15798             1.85002e+08             1.85002e+08

6.27674             2.04785e+08             2.04785e+08

6.04434             2.21097e+08             2.21097e+08

5.9481             2.33594e+08             2.33594e+08

5.86987             2.42019e+08             2.42019e+08

6.09363             2.46206e+08             2.46206e+08

5.82052             2.46083e+08             2.46083e+08

6.18504             2.41677e+08             2.41677e+08

5.86612             2.33107e+08             2.33107e+08

5.88692             2.20588e+08             2.20588e+08

6.29707             2.04417e+08             2.04417e+08

5.93092             1.84974e+08             1.84974e+08

5.93603             1.62708e+08             1.62708e+08

6.06498             1.3813e+08             1.3813e+08

5.82475             1.11799e+08             1.11799e+08

6.07748             8.43098e+07             8.43098e+07

5.7857             5.62796e+07             5.62796e+07

6.29665             2.83357e+07             2.83357e+07

5.85876             1.0992e+06             1.0992e+06

5.76451             -2.48275e+07             2.48275e+07

6.01303             -4.88737e+07             4.88737e+07

5.88637             -7.05137e+07             7.05137e+07

5.93347             -8.92783e+07             8.92783e+07

5.75484             -1.04764e+08             1.04764e+08

6.08268             -1.16644e+08             1.16644e+08

5.94918             -1.2467e+08             1.2467e+08

5.83759             -1.28684e+08             1.28684e+08

5.80937             -1.28616e+08             1.28616e+08

5.90117             -1.24489e+08             1.24489e+08

6.18556             -1.16414e+08             1.16414e+08

5.98915             -1.0459e+08             1.0459e+08

6.26202             -8.92997e+07             8.92997e+07

6.19178             -7.08999e+07             7.08999e+07

5.85658             -4.98156e+07             4.98156e+07

6.01046             -2.65292e+07             2.65292e+07

5.99475             -1.57007e+06             1.57007e+06

5.86958             2.44984e+07             2.44984e+07

5.95892             5.10903e+07             5.10903e+07

5.70311             7.76113e+07             7.76113e+07

5.81259             1.03471e+08             1.03471e+08

6.01645             1.28098e+08             1.28098e+08

5.9997             1.50949e+08             1.50949e+08

6.02303             1.71524e+08             1.71524e+08

5.81864             1.89376e+08             1.89376e+08

6.0561             2.0412e+08             2.0412e+08

6.17168             2.15444e+08             2.15444e+08

5.85539             2.23111e+08             2.23111e+08

5.78899             2.26969e+08             2.26969e+08

5.92894             2.26948e+08             2.26948e+08

5.92806             2.23068e+08             2.23068e+08

5.9897             2.15433e+08             2.15433e+08

6.1478             2.04231e+08             2.04231e+08

5.86727             1.89729e+08             1.89729e+08

6.15774             1.72263e+08             1.72263e+08

5.89474             1.52238e+08             1.52238e+08

5.94229             1.30109e+08             1.30109e+08

6.17019             1.06381e+08             1.06381e+08

5.96             8.15884e+07             8.15884e+07

5.8936             5.62883e+07             5.62883e+07

6.21773             3.10462e+07             3.10462e+07

5.7785             6.42376e+06             6.42376e+06

6.0198             -1.70333e+07             1.70333e+07

5.73867             -3.88083e+07             3.88083e+07

6.19239             -5.84241e+07             5.84241e+07

6.24992             -7.54537e+07             7.54537e+07

5.98256             -8.95294e+07             8.95294e+07

6.18667             -1.00351e+08             1.00351e+08

6.03264             -1.07693e+08             1.07693e+08

6.13386             -1.11407e+08             1.11407e+08

6.02931             -1.11427e+08             1.11427e+08

5.77352             -1.07768e+08             1.07768e+08

6.02788             -1.00529e+08             1.00529e+08

6.14661             -8.98862e+07             8.98862e+07

6.05156             -7.6092e+07             7.6092e+07

5.98955             -5.94677e+07             5.94677e+07

5.76555             -4.03959e+07             4.03959e+07

5.94617             -1.93119e+07             1.93119e+07

6.02643             3.30597e+06             3.30597e+06

6.2543             2.69474e+07             2.69474e+07

5.70617             5.10813e+07             5.10813e+07

5.70743             7.51682e+07             7.51682e+07

5.79156             9.86722e+07             9.86722e+07

6.09164             1.21072e+08             1.21072e+08

5.75825             1.41874e+08             1.41874e+08

5.89705             1.60621e+08             1.60621e+08

6.02011             1.76906e+08             1.76906e+08

6.10475             1.90376e+08             1.90376e+08

6.25338             2.00742e+08             2.00742e+08

5.84843             2.07788e+08             2.07788e+08

6.19586             2.11371e+08             2.11371e+08

5.9511             2.11426e+08             2.11426e+08

5.92118             2.07966e+08             2.07966e+08

5.93682             2.01083e+08             2.01083e+08

6.18805             1.90945e+08             1.90945e+08

5.91743             1.77792e+08             1.77792e+08

5.86436             1.61929e+08             1.61929e+08

6.15426             1.43721e+08             1.43721e+08

6.02652             1.23583e+08             1.23583e+08

6.09482             1.01971e+08             1.01971e+08

5.73362             7.93739e+07             7.93739e+07

5.88458             5.62978e+07             5.62978e+07

6.27667             3.3259e+07             3.3259e+07

6.15362             1.07706e+07             1.07706e+07

5.90274             -1.06691e+07             1.06691e+07

6.07842             -3.05866e+07             3.05866e+07

6.01437             -4.8545e+07             4.8545e+07

5.71848             -6.4152e+07             6.4152e+07

6.04355             -7.70696e+07             7.70696e+07

6.02817             -8.70213e+07             8.70213e+07

6.20114             -9.37973e+07             9.37973e+07

5.94335             -9.72597e+07             9.72597e+07

6.10092             -9.73448e+07             9.73448e+07

6.14311             -9.40642e+07             9.40642e+07

5.85896             -8.75046e+07             8.75046e+07

6.28649             -7.78253e+07             7.78253e+07

6.06774             -6.52545e+07             6.52545e+07

5.9242             -5.00837e+07             5.00837e+07

6.04542             -3.26609e+07             3.26609e+07

6.08539             -1.33833e+07             1.33833e+07

5.75999             7.31208e+06             7.31208e+06

6.13928             2.89589e+07             2.89589e+07

6.02859             5.10714e+07             5.10714e+07

6.13194             7.31548e+07             7.31548e+07

5.79167             9.47176e+07             9.47176e+07

6.19799             1.15281e+08             1.15281e+08

6.06218             1.34392e+08             1.34392e+08

6.04727             1.5163e+08             1.5163e+08

6.14985             1.66618e+08             1.66618e+08

5.72668             1.79032e+08             1.79032e+08

5.96035             1.88604e+08             1.88604e+08

5.8568             1.95132e+08             1.95132e+08

5.96959             1.98484e+08             1.98484e+08

6.14362             1.98596e+08             1.98596e+08

6.07287             1.95478e+08             1.95478e+08

5.76528             1.89213e+08             1.89213e+08

5.70906             1.79951e+08             1.79951e+08

6.23379             1.67911e+08             1.67911e+08

5.86             1.53372e+08             1.53372e+08

5.93171             1.36667e+08             1.36667e+08

5.7245             1.18176e+08             1.18176e+08

6.12398             9.83172e+07             9.83172e+07

6.06765             7.75393e+07             7.75393e+07

6.24444             5.63081e+07             5.63081e+07

6.04509             3.50988e+07             3.50988e+07

5.85777             1.43828e+07             1.43828e+07

6.10217             -5.37932e+06             5.37932e+06

6.09607             -2.37517e+07             2.37517e+07

6.14815             -4.03294e+07             4.03294e+07

5.77059             -5.47506e+07             5.47506e+07

6.2055             -6.67014e+07             6.67014e+07

5.95853             -7.5925e+07             7.5925e+07

5.934             -8.22262e+07             8.22262e+07

6.26464             -8.54753e+07             8.54753e+07

6.03011             -8.56108e+07             8.56108e+07

5.95802             -8.26417e+07             8.26417e+07

6.10103             -7.66449e+07             7.66449e+07

5.78386             -6.77659e+07             6.77659e+07

6.21407             -5.62122e+07             5.62122e+07

6.25008             -4.22516e+07             4.22516e+07

6.12068             -2.62036e+07             2.62036e+07

5.98908             -8.43313e+06             8.43313e+06

5.7559             1.06573e+07             1.06573e+07

6.19449             3.06381e+07             3.06381e+07

5.81241             5.10602e+07             5.10602e+07

6.13286             7.14676e+07             7.14676e+07

5.98979             9.14056e+07             9.14056e+07

5.93037             1.10432e+08             1.10432e+08

5.71873             1.28125e+08             1.28125e+08

5.83457             1.44096e+08             1.44096e+08

6.16036             1.57996e+08             1.57996e+08

6.15113             1.69521e+08             1.69521e+08

6.28028             1.78424e+08             1.78424e+08

6.05542             1.84515e+08             1.84515e+08

6.19786             1.87669e+08             1.87669e+08

6.07944             1.87826e+08             1.87826e+08

5.81056             1.84993e+08             1.84993e+08

5.87335             1.79243e+08             1.79243e+08

5.89304             1.70715e+08             1.70715e+08

6.24232             1.59608e+08             1.59608e+08

6.27136             1.46179e+08             1.46179e+08

5.85813             1.30736e+08             1.30736e+08

5.87222             1.13628e+08             1.13628e+08

5.84603             9.52442e+07             9.52442e+07

5.84729             7.59974e+07             7.59974e+07

6.04635             5.63197e+07             5.63197e+07

6.17226             3.66511e+07             3.66511e+07

6.15122             1.74296e+07             1.74296e+07

5.92116             -917808             917808

5.71635             -1.79854e+07             1.79854e+07

6.01556             -3.33974e+07             3.33974e+07

6.04773             -4.68158e+07             4.68158e+07

6.04877             -5.79485e+07             5.79485e+07

6.16331             -6.65552e+07             6.65552e+07

5.98507             -7.24527e+07             7.24527e+07

6.02975             -7.55188e+07             7.55188e+07

6.13396             -7.56945e+07             7.56945e+07

6.27418             -7.29858e+07             7.29858e+07

5.9993             -6.74629e+07             6.74629e+07

6.17078             -5.9258e+07             5.9258e+07

6.20363             -4.8563e+07             4.8563e+07

5.90269             -3.56246e+07             3.56246e+07

6.28731             -2.07386e+07             2.07386e+07

5.89857             -4.24319e+06             4.24319e+06

6.18274             1.34889e+07             1.34889e+07

6.24441             3.20582e+07             3.20582e+07

5.96364             5.10483e+07             5.10483e+07

6.17021             7.00347e+07             7.00347e+07

6.26926             8.85942e+07             8.85942e+07

6.01169             1.06315e+08             1.06315e+08

5.80348             1.22804e+08             1.22804e+08

6.24706             1.37699e+08             1.37699e+08

6.10922             1.50672e+08             1.50672e+08

6.00867             1.61441e+08             1.61441e+08

6.21751             1.69774e+08             1.69774e+08

5.8698             1.75492e+08             1.75492e+08

5.77172             1.78476e+08             1.78476e+08

5.90631             1.78669e+08             1.78669e+08

5.82693             1.76075e+08             1.76075e+08

6.2334             1.70761e+08             1.70761e+08

6.12394             1.62855e+08             1.62855e+08

5.81732             1.52541e+08             1.52541e+08

6.03857             1.40056e+08             1.40056e+08

6.1621             1.25686e+08             1.25686e+08

6.20599             1.09756e+08             1.09756e+08

6.07124             9.26279e+07             9.26279e+07

6.01973             7.46857e+07             7.46857e+07

6.08448             5.63322e+07             5.63322e+07

6.00611             3.79778e+07             3.79778e+07

5.78941             2.00315e+07             2.00315e+07

6.07329             2.89204e+06             2.89204e+06

6.00836             -1.30612e+07             1.30612e+07

6.2356             -2.74765e+07             2.74765e+07

6.25997             -4.00374e+07             4.00374e+07

6.21269             -5.04697e+07             5.04697e+07

5.89593             -5.85475e+07             5.85475e+07

5.70375             -6.40983e+07             6.40983e+07

5.91281             -6.70061e+07             6.70061e+07

5.93685             -6.72144e+07             6.72144e+07

6.03863             -6.47268e+07             6.47268e+07

5.89296             -5.96073e+07             5.96073e+07

6.0947             -5.19778e+07             5.19778e+07

5.80533             -4.20164e+07             4.20164e+07

6.23221             -2.9952e+07             2.9952e+07

5.93363             -1.60602e+07             1.60602e+07

6.0441             -655944             655944

6.01318             1.59127e+07             1.59127e+07

6.1517             3.32729e+07             3.32729e+07

5.97921             5.10354e+07             5.10354e+07

6.26638             6.88031e+07             6.88031e+07

6.166             8.61799e+07             8.61799e+07

5.72642             1.0278e+08             1.0278e+08

5.78119             1.18235e+08             1.18235e+08

5.90862             1.32205e+08             1.32205e+08

6.25497             1.44382e+08             1.44382e+08

6.11506             1.54501e+08             1.54501e+08

6.26418             1.62342e+08             1.62342e+08

6.13476             1.67737e+08             1.67737e+08

5.83175             1.70574e+08             1.70574e+08

5.88051             1.70796e+08             1.70796e+08

5.70073             1.68407e+08             1.68407e+08

5.70048             1.63467e+08             1.63467e+08

